at,timestamp,sleep_class
2020-06-22 23:16,1592860609,4
2020-06-22 23:58,1592863129,3
2020-06-23 00:11,1592863909,2
2020-06-23 00:29,1592864989,1
2020-06-23 00:39,1592865589,4
2020-06-23 00:52,1592866369,2
2020-06-23 00:58,1592866699,3
2020-06-23 01:09,1592867389,2
2020-06-23 01:42,1592869339,1
2020-06-23 01:51,1592869879,2
2020-06-23 01:51,1592869909,4
2020-06-23 02:01,1592870479,3
2020-06-23 02:25,1592871949,2
2020-06-23 02:52,1592873539,1
2020-06-23 03:16,1592875009,2
2020-06-23 03:33,1592875999,3
2020-06-23 03:40,1592876419,2
2020-06-23 04:02,1592877769,3
2020-06-23 04:22,1592878969,2
2020-06-23 04:36,1592879779,3
2020-06-23 04:43,1592880199,2
2020-06-23 05:06,1592881579,1
2020-06-23 05:26,1592882779,2
2020-06-23 05:44,1592883889,3
2020-06-23 06:01,1592884909,2
2020-06-23 06:29,1592886559,1
2020-06-23 07:00,1592888449,2
2020-06-23 07:36,1592890579,1
2020-06-23 07:45,1592891119,2
2020-06-23 08:15,1592892919,3
2020-06-23 08:30,1592893849,4
