at,timestamp,sleep_class
2020-05-31 22:54,1590962042,4
2020-05-31 23:07,1590962822,2
2020-05-31 23:25,1590963902,1
2020-05-31 23:53,1590965582,2
2020-06-01 00:08,1590966512,3
2020-06-01 00:30,1590967832,2
2020-06-01 00:49,1590968972,1
2020-06-01 01:02,1590969722,2
2020-06-01 01:12,1590970322,3
2020-06-01 01:20,1590970802,2
2020-06-01 01:56,1590972962,1
2020-06-01 02:10,1590973832,2
2020-06-01 02:27,1590974822,1
2020-06-01 02:40,1590975602,2
2020-06-01 02:50,1590976232,3
2020-06-01 02:58,1590976682,4
2020-06-01 03:23,1590978182,2
2020-06-01 03:30,1590978602,1
2020-06-01 03:56,1590980192,2
2020-06-01 04:07,1590980852,3
2020-06-01 04:17,1590981452,4
2020-06-01 04:26,1590981992,3
2020-06-01 04:48,1590983282,2
2020-06-01 05:17,1590985022,1
2020-06-01 05:31,1590985892,2
2020-06-01 05:51,1590987092,1
2020-06-01 06:04,1590987842,2
2020-06-01 06:13,1590988382,3
2020-06-01 06:23,1590989012,2
2020-06-01 06:34,1590989672,3
2020-06-01 06:52,1590990722,2
2020-06-01 07:25,1590992732,1
2020-06-01 07:36,1590993362,2
2020-06-01 07:53,1590994382,3
2020-06-01 08:04,1590995072,2
2020-06-01 08:14,1590995642,3
2020-06-01 08:15,1590995702,4
2020-06-01 08:30,1590996602,3
2020-06-01 08:31,1590996662,4
2020-06-01 08:36,1590996992,3
2020-06-01 08:47,1590997652,4
