at,timestamp,sleep_class
2020-06-04 19:50,1591296627,4
2020-06-04 20:29,1591298967,2
2020-06-04 20:53,1591300437,3
2020-06-04 21:04,1591301097,2
2020-06-04 21:29,1591302597,4
2020-06-04 21:51,1591303887,2
2020-06-04 21:57,1591304277,3
2020-06-04 21:59,1591304367,4
2020-06-04 22:22,1591305747,3
2020-06-04 22:38,1591306707,2
2020-06-04 23:05,1591308357,1
2020-06-04 23:14,1591308897,2
2020-06-04 23:33,1591310007,3
2020-06-04 23:57,1591311447,2
2020-06-05 00:21,1591312887,1
2020-06-05 00:45,1591314357,2
2020-06-05 00:58,1591315107,3
2020-06-05 01:11,1591315887,2
2020-06-05 01:35,1591317327,1
2020-06-05 01:50,1591318257,2
2020-06-05 02:08,1591319337,3
2020-06-05 02:28,1591320537,2
2020-06-05 02:48,1591321737,1
2020-06-05 03:10,1591323027,2
2020-06-05 03:31,1591324317,3
2020-06-05 03:52,1591325547,2
2020-06-05 04:21,1591327317,1
2020-06-05 04:36,1591328187,2
2020-06-05 05:02,1591329747,3
2020-06-05 05:22,1591330977,2
2020-06-05 05:43,1591332237,3
2020-06-05 05:57,1591333047,2
2020-06-05 06:40,1591335657,3
2020-06-05 06:49,1591336197,2
2020-06-05 06:55,1591336527,4
