at,timestamp,sleep_class
2020-06-11 22:11,1591906300,4
2020-06-11 22:49,1591908550,2
2020-06-11 22:50,1591908610,3
2020-06-11 23:01,1591909270,4
2020-06-11 23:33,1591911190,1
2020-06-11 23:36,1591911370,2
2020-06-11 23:52,1591912330,3
2020-06-12 00:00,1591912810,2
2020-06-12 00:20,1591914010,1
2020-06-12 00:35,1591914910,2
2020-06-12 00:53,1591915990,3
2020-06-12 01:01,1591916470,2
2020-06-12 01:17,1591917430,1
2020-06-12 01:27,1591918060,2
2020-06-12 01:36,1591918570,4
2020-06-12 01:48,1591919290,2
2020-06-12 02:12,1591920730,1
2020-06-12 02:23,1591921420,2
2020-06-12 02:31,1591921900,3
2020-06-12 02:48,1591922890,2
2020-06-12 03:08,1591924090,1
2020-06-12 03:19,1591924780,2
2020-06-12 03:50,1591926640,1
2020-06-12 04:03,1591927420,2
2020-06-12 04:12,1591927960,3
2020-06-12 04:24,1591928650,2
2020-06-12 05:08,1591931320,1
2020-06-12 05:21,1591932100,2
2020-06-12 05:38,1591933090,3
2020-06-12 05:50,1591933810,2
2020-06-12 06:34,1591936480,3
2020-06-12 06:42,1591936960,2
2020-06-12 07:08,1591938520,1
2020-06-12 07:25,1591939510,2
2020-06-12 07:51,1591941070,3
2020-06-12 08:03,1591941820,2
2020-06-12 08:20,1591942810,4
2020-06-12 08:28,1591943320,1
2020-06-12 08:33,1591943590,2
2020-06-12 08:39,1591943950,4
