at,timestamp,sleep_class
2020-06-05 22:23,1591392205,4
2020-06-05 22:54,1591394095,2
2020-06-05 23:17,1591395475,1
2020-06-05 23:36,1591396585,2
2020-06-06 00:07,1591398475,3
2020-06-06 00:30,1591399855,2
2020-06-06 00:47,1591400845,1
2020-06-06 01:12,1591402375,4
2020-06-06 01:47,1591404445,1
2020-06-06 01:52,1591404775,2
2020-06-06 02:04,1591405465,3
2020-06-06 02:13,1591406035,4
2020-06-06 02:18,1591406335,3
2020-06-06 02:24,1591406695,2
2020-06-06 02:48,1591408135,1
2020-06-06 03:02,1591408945,2
2020-06-06 03:24,1591410295,3
2020-06-06 03:42,1591411345,2
2020-06-06 04:06,1591412785,3
2020-06-06 04:26,1591413985,4
2020-06-06 04:32,1591414375,3
2020-06-06 04:51,1591415485,2
2020-06-06 05:27,1591417675,3
2020-06-06 05:59,1591419565,2
2020-06-06 06:25,1591421155,3
2020-06-06 06:41,1591422115,2
2020-06-06 07:10,1591423855,3
2020-06-06 07:28,1591424905,2
2020-06-06 07:38,1591425535,3
2020-06-06 07:40,1591425625,4
2020-06-06 08:26,1591428385,2
2020-06-06 08:27,1591428475,4
