at,timestamp,sleep_class
2020-06-16 03:18,1592270311,4
2020-06-16 03:41,1592271661,2
2020-06-16 03:55,1592272531,1
2020-06-16 04:08,1592273281,2
2020-06-16 04:29,1592274541,1
2020-06-16 04:42,1592275321,2
2020-06-16 04:52,1592275951,3
2020-06-16 05:16,1592277361,2
2020-06-16 05:43,1592279011,1
2020-06-16 05:45,1592279101,4
2020-06-16 06:25,1592281531,2
2020-06-16 06:31,1592281891,3
2020-06-16 06:43,1592282581,2
2020-06-16 07:06,1592283991,1
2020-06-16 07:16,1592284591,2
2020-06-16 07:53,1592286811,3
2020-06-16 08:04,1592287471,2
2020-06-16 08:18,1592288311,3
2020-06-16 08:32,1592289121,4
