at,timestamp,sleep_class
2020-06-25 22:35,1593117359,4
2020-06-25 23:14,1593119699,2
2020-06-25 23:24,1593120269,4
2020-06-25 23:38,1593121109,2
2020-06-25 23:59,1593122399,3
2020-06-26 00:07,1593122879,2
2020-06-26 00:11,1593123089,4
2020-06-26 00:21,1593123719,2
2020-06-26 00:28,1593124139,1
2020-06-26 00:45,1593125159,2
2020-06-26 01:05,1593126329,1
2020-06-26 01:30,1593127829,2
2020-06-26 01:45,1593128759,3
2020-06-26 01:55,1593129329,2
2020-06-26 02:17,1593130679,1
2020-06-26 02:30,1593131459,4
2020-06-26 02:49,1593132569,2
2020-06-26 03:08,1593133709,1
2020-06-26 03:24,1593134669,2
2020-06-26 03:38,1593135509,3
2020-06-26 03:54,1593136469,2
2020-06-26 04:12,1593137549,1
2020-06-26 04:35,1593138959,2
2020-06-26 05:09,1593140969,1
2020-06-26 05:21,1593141719,2
2020-06-26 05:29,1593142199,3
2020-06-26 05:40,1593142829,2
2020-06-26 06:03,1593144239,1
2020-06-26 06:20,1593145229,2
2020-06-26 06:39,1593146399,3
2020-06-26 06:51,1593147089,4
2020-06-26 06:57,1593147479,3
2020-06-26 07:20,1593148859,2
2020-06-26 08:00,1593151259,1
2020-06-26 08:12,1593151949,2
2020-06-26 08:36,1593153389,3
2020-06-26 09:00,1593154859,2
2020-06-26 09:02,1593154979,4
