at,timestamp,sleep_class
2020-06-23 22:22,1592943756,4
2020-06-23 22:40,1592944836,2
2020-06-23 22:59,1592945946,3
2020-06-23 23:07,1592946426,2
2020-06-23 23:31,1592947866,1
2020-06-23 23:44,1592948646,2
2020-06-23 23:59,1592949546,3
2020-06-24 00:22,1592950926,2
2020-06-24 00:49,1592952576,1
2020-06-24 01:05,1592953536,2
2020-06-24 01:18,1592954286,3
2020-06-24 01:34,1592955276,2
2020-06-24 01:51,1592956266,1
2020-06-24 02:02,1592956926,2
2020-06-24 02:32,1592958756,1
2020-06-24 02:47,1592959656,2
2020-06-24 03:01,1592960496,3
2020-06-24 03:11,1592961066,4
2020-06-24 03:16,1592961396,3
2020-06-24 03:25,1592961936,2
2020-06-24 04:00,1592964006,1
2020-06-24 04:11,1592964696,2
2020-06-24 04:29,1592965746,3
2020-06-24 04:49,1592966976,2
2020-06-24 05:13,1592968416,1
2020-06-24 05:38,1592969886,2
2020-06-24 06:09,1592971776,3
2020-06-24 06:24,1592972676,2
2020-06-24 06:49,1592974176,1
2020-06-24 07:02,1592974926,2
2020-06-24 07:11,1592975466,3
2020-06-24 07:28,1592976516,2
2020-06-24 07:53,1592978016,1
2020-06-24 08:02,1592978556,2
2020-06-24 08:35,1592980536,3
2020-06-24 08:44,1592981046,4
2020-06-24 09:08,1592982516,3
2020-06-24 09:27,1592983656,4
