at,timestamp,sleep_class
2020-05-30 22:27,1590874075,4
2020-05-30 22:53,1590875605,2
2020-05-30 22:55,1590875755,4
2020-05-30 23:18,1590877135,2
2020-05-30 23:40,1590878455,3
2020-05-30 23:54,1590879295,4
2020-05-31 00:11,1590880285,2
2020-05-31 00:20,1590880825,1
2020-05-31 00:40,1590882025,2
2020-05-31 00:50,1590882625,3
2020-05-31 01:00,1590883225,4
2020-05-31 01:04,1590883495,3
2020-05-31 01:11,1590883915,2
2020-05-31 01:34,1590885265,4
2020-05-31 01:52,1590886345,2
2020-05-31 02:12,1590887575,1
2020-05-31 02:39,1590889195,2
2020-05-31 02:49,1590889795,3
2020-05-31 02:57,1590890275,4
2020-05-31 03:03,1590890605,3
2020-05-31 03:10,1590891055,2
2020-05-31 03:31,1590892315,1
2020-05-31 03:51,1590893515,2
2020-05-31 04:12,1590894775,3
2020-05-31 04:30,1590895825,2
2020-05-31 04:39,1590896365,3
2020-05-31 04:50,1590897055,2
2020-05-31 05:09,1590898195,1
2020-05-31 05:19,1590898765,2
2020-05-31 05:45,1590900355,3
2020-05-31 06:03,1590901405,2
2020-05-31 06:19,1590902365,3
2020-05-31 06:43,1590903805,2
2020-05-31 07:02,1590904975,1
2020-05-31 07:16,1590905815,2
2020-05-31 07:41,1590907315,3
2020-05-31 07:43,1590907435,4
2020-05-31 07:56,1590908185,3
2020-05-31 08:00,1590908425,4
2020-05-31 08:09,1590908965,3
2020-05-31 08:21,1590909685,4
