at,timestamp,sleep_class
2020-06-17 23:23,1592428991,4
2020-06-17 23:37,1592429861,2
2020-06-17 23:39,1592429951,4
2020-06-17 23:57,1592431061,2
2020-06-18 00:12,1592431961,1
2020-06-18 00:25,1592432741,2
2020-06-18 00:42,1592433761,3
2020-06-18 01:05,1592435141,2
2020-06-18 01:25,1592436341,1
2020-06-18 01:43,1592437421,2
2020-06-18 02:18,1592439491,3
2020-06-18 02:42,1592440931,2
2020-06-18 03:12,1592442761,1
2020-06-18 03:23,1592443421,4
2020-06-18 03:59,1592445581,2
2020-06-18 04:02,1592445731,3
2020-06-18 04:30,1592447441,4
2020-06-18 04:34,1592447681,3
2020-06-18 04:42,1592448161,2
2020-06-18 05:01,1592449301,1
2020-06-18 05:20,1592450441,2
2020-06-18 05:49,1592452151,1
2020-06-18 06:04,1592453081,2
2020-06-18 06:14,1592453651,3
2020-06-18 06:35,1592454911,4
2020-06-18 06:44,1592455451,3
2020-06-18 06:55,1592456111,2
2020-06-18 07:15,1592457341,1
2020-06-18 07:24,1592457881,2
2020-06-18 07:46,1592459201,3
2020-06-18 08:08,1592460491,2
2020-06-18 08:20,1592461241,3
2020-06-18 08:33,1592461991,4
2020-06-18 08:39,1592462381,3
2020-06-18 08:50,1592463041,2
2020-06-18 09:24,1592465051,1
2020-06-18 09:43,1592466221,2
2020-06-18 09:53,1592466821,4
