at,timestamp,sleep_class
2020-06-03 21:22,1591215776,4
2020-06-03 21:37,1591216646,2
2020-06-03 21:48,1591217306,4
2020-06-03 22:42,1591220576,2
2020-06-03 22:46,1591220816,3
2020-06-03 23:04,1591221866,2
2020-06-03 23:17,1591222676,3
2020-06-03 23:34,1591223666,2
2020-06-04 00:01,1591225316,1
2020-06-04 00:11,1591225886,2
2020-06-04 00:32,1591227146,3
2020-06-04 00:52,1591228346,2
2020-06-04 01:15,1591229726,1
2020-06-04 01:28,1591230536,2
2020-06-04 01:57,1591232276,3
2020-06-04 02:20,1591233626,2
2020-06-04 02:47,1591235246,1
2020-06-04 02:59,1591235996,2
2020-06-04 03:17,1591237046,1
2020-06-04 03:35,1591238156,2
2020-06-04 03:44,1591238696,3
2020-06-04 03:57,1591239476,2
2020-06-04 04:18,1591240736,3
2020-06-04 04:25,1591241156,2
2020-06-04 04:54,1591242896,3
2020-06-04 05:17,1591244246,2
2020-06-04 05:47,1591246076,1
2020-06-04 06:13,1591247606,2
2020-06-04 06:27,1591248476,3
2020-06-04 06:40,1591249256,2
2020-06-04 07:04,1591250696,4
